Name,Short name,URL name,Tags,Home page,Publication scheme,Disclosure log,Notes,Created at,Updated at,Version
ARC Advisory Council,"",arc_advisory_council,github_316 federal police,http://arc.gov.au/about_arc/AdvisoryCouncil.htm,http://arc.gov.au/about_arc/ips.htm,http://arc.gov.au/about_arc/foi_disclosure_log.htm,The Australian Research Council (ARC) Advisory Council advises ARC's Chief Executive Officer on key research issues.,2014-03-28 15:03:31 +1100,2016-08-16 04:55:55 +1000,2
Asbestos Safety and Eradication Agency,"",asbestos_safety_and_eradication_agency,federal github_316,http://www.asbestossafety.gov.au/,http://asbestossafety.gov.au/faq/information-publication-scheme,http://asbestossafety.gov.au/faq/freedom-information-disclosure-log,The Asbestos Safety and Eradication Agency has been established to provide a national focus on asbestos issues which go beyond workplace safety to encompass environmental and public health issues.,2014-03-28 15:03:31 +1100,2017-02-23 20:46:54 +1100,3
Australia Awards Board,"",australia_awards_board,foreign_affairs_and_trade federal github_316,http://www.australiaawards.gov.au,http://www.dfat.gov.au/foi/ips.html,http://www.dfat.gov.au/foi/disclosure-log.html,"The Australia Awards Board provides expert advice and strategic direction to the Minister for Foreign Affairs and the Minister for Tertiary Education, Skills, Science and Research on the Australia Awards program.",2014-03-28 15:03:31 +1100,2016-08-16 04:55:55 +1000,2
Australia International Cultural Council,"",australia_international_cultural_council,foreign_affairs_and_trade federal github_316,https://www.dfat.gov.au/aicc/,http://www.dfat.gov.au/foi/ips.html,http://www.dfat.gov.au/foi/disclosure-log.html,"To promote Australia overseas through the arts and culture and stregthen people-to-people linkages through cultural exchanges and creative collaboration. To reinforce Australia's standing as a stable, sophisticated, multicultural and creative nation with a rich and diverse culture, and to promote Australia's Indigenous art and culture",2014-03-28 15:03:31 +1100,2016-08-16 04:55:55 +1000,2
Australia-Thailand Institute,"",australia_thailand_institute,foreign_affairs_and_trade federal github_316,http://www.dfat.gov.au/ati,http://www.dfat.gov.au/foi/ips.html,http://www.dfat.gov.au/foi/disclosure-log.html,The Australia-Thailand Institute Advisory Board advises the Australia-Thailand Institute and its assistance to interested parties to develop positive relationships and exchanges between the people of Australia and Thailand.,2014-03-28 15:03:31 +1100,2016-08-16 04:55:55 +1000,3
Australia-China Council,"",australia_china_council,foreign_affairs_and_trade federal github_316,http://www.dfat.gov.au/acc,http://www.dfat.gov.au/foi/ips.html,http://www.dfat.gov.au/foi/disclosure-log.html,"The Australia-China Council Board works to enhance Australia's relationship with China. The Council was established by the Australian Government in 1978 to promote mutual understanding and foster people-to-people relations between Australia and China. The function of the Council is to make recommendations to the Australian Government through the Minister for Foreign Affairs on strengthening the Australia-China relationship in ways that support Australia's foreign and trade policy interests. The Councilís core activities are: 1. Providing policy advice to the government, and promoting bilateral relations among its network of stakeholders in the strategic priority areas of Economics and Trade, Society and Culture and Education and Science 2. Supporting and funding sustainable, long-term and high-impact projects that directly contribute to the strengthening of Australia-China relations and which support the Governmentís foreign and trade policy objectives 3. Supporting a network of 30 Australian Studies Centres located in leading Chinese metropolitan and regional universities through the Australian Studies in China program and the new Foundation for Australian Studies in China ñ a unique partnership between government, corporate and university sectors to advance Australian studies and in China.",2014-03-28 15:03:31 +1100,2016-08-16 04:55:55 +1000,2
Australia-India Council,"",australia_india_council,foreign_affairs_and_trade federal github_316,http://www.dfat.gov.au/aic,http://www.dfat.gov.au/foi/ips.html,http://www.dfat.gov.au/foi/disclosure-log.html,The Australia-India Council's purpose is to broaden the relationship between Australia and India by encouraging and supporting contacts and increasing levels of knowledge and understanding between the peoples and institutions of the two countries.,2014-03-28 15:03:31 +1100,2017-04-03 22:17:06 +1000,4
Aboriginal and Torres Strait Islander Higher Education Advisory Council,"",aboriginal_and_torres_strait_islander_higher_education_advisory_council,github_316 federal education_and_training police,http://www.education.gov.au,"","","",2014-03-28 19:04:56 +1100,2016-08-16 04:55:55 +1000,3
Advancing Quality in Higher Education Reference Group,"",advancing_quality_in_higher_education_reference_group,education_and_training federal github_316,http://www.industry.gov.au,"","","The Advancing Quality in Higher Education Reference Group advises on the coherence and balance of the measures derived from instruments, consistent with meeting the Government's stated objectives; advises on the approach to implementation of the instruments as a suite; provides input and guidance on the development of a discussion paper on a vision for the future of student surveys in Australia, and leads consultation on the paper with the sector; and advises on the development and implementation of individual performance measurement instruments.",2014-03-28 19:04:56 +1100,2016-08-16 04:55:55 +1000,3
AAF Company,"",aaf_company,github_316 federal defence police,http://www.defence.gov.au,"","",Provide discounted holiday accommodation to members of the Australian Army and other eligible members and funding for projects for which the use of public funds is inappropriate.,2014-03-28 19:47:12 +1100,2016-08-16 04:55:55 +1000,2
Artbank Advisory Committee,"",artbank_advisory_committee,attorney_general federal github_316,http://artbank.gov.au/artbank_staff.html,"","","The Artbank Advisory Committee advises the Director on policy issues, makes recommendations on Artbank to the Minister, assesses the suitability of potential acquisitions and recommends proposed purchases.",2014-03-28 19:47:12 +1100,2016-08-16 04:55:55 +1000,2
Australia Telescope National Facility Steering Committee,"",australia_telescope_national_facility_steering_committee,industry_and_science federal github_316,http://www.atnf.csiro.au/management/steering/index.html,"","","The Australia Telescope National Facility Steering Committee (ATSC) provides advice to the Director of the Australia Telescope National Facility (ATNF) on the scientific and technical operations of the ATNF. Committee members are appointed by the Minister for Innovation, Industry, Science and Research. The ATSC includes three Australian astronomers, three overseas experts and two representatives from the broader community. In addition, there are three ex-officio members (not appointed by the Minister).",2014-03-28 19:47:12 +1100,2016-08-16 04:55:55 +1000,2
Australia-India Strategic Research Fund Advisory Panel,"",australia_india_strategic_research_fund_advisory_panel,industry_and_science federal github_316,http://www.innovation.gov.au/Science/InternationalCollaboration/aisrf/Pages/default.aspx,"","",Australia-India Strategic Research Fund Advisory Panel review applications and decide on the final set of projects to be supported under each round of the Australia-India Strategic Research Fund.,2014-03-28 19:47:12 +1100,2016-08-16 04:55:55 +1000,2
Australia-Indonesia Institute,"",australia_indonesia_institute,foreign_affairs_and_trade federal github_316,https://www.dfat.gov.au/aii/,http://www.dfat.gov.au/foi/ips.html,http://www.dfat.gov.au/foi/disclosure-log.html,The Australia-Indonesia Institute Advisory Board oversees the Institutes assistance to interested parties to develop positive relationships and exchanges between the peoples of Australia and Indonesia.,2014-03-28 19:47:12 +1100,2016-08-16 04:55:55 +1000,2
Australia-Japan Foundation,"",australia_japan_foundation,foreign_affairs_and_trade federal github_316,http://ajf.australia.or.jp/en/,http://www.dfat.gov.au/foi/ips.html,http://www.dfat.gov.au/foi/disclosure-log.html,The Australia-Japan Foundation Advisory Board advises the Foundation's assistance to interested parties to develop positive relationships and exchanges between the peoples of Australia and Japan.,2014-03-28 19:47:12 +1100,2016-08-16 04:55:55 +1000,2
Australia-Korea Foundation,"",australia_korea_foundation,github_316 federal foreign_affairs_and_trade,https://www.dfat.gov.au/akf/,http://www.dfat.gov.au/foi/ips.html,http://www.dfat.gov.au/foi/disclosure-log.html,"The Australia-Korea Foundation Board considers policy directions, and decides on projects and grants of the Australia-Korea Foundation to assist interested parties to develop positive relationships and exchanges between the people of Australia and Korea.",2014-03-28 19:47:13 +1100,2016-09-23 04:55:48 +1000,3
Australia-Malaysia Institute,"",australia_malaysia_institute,foreign_affairs_and_trade federal github_316,https://www.dfat.gov.au/ami/,http://www.dfat.gov.au/foi/ips.html,http://www.dfat.gov.au/foi/disclosure-log.html,The Australia-Malaysia Institute Advisory Board advises the Australia-Malaysia Institute and its assistance to interested parties to develop positive relationships and exchanges between the people of Australia and Malaysia.,2014-03-28 19:47:13 +1100,2016-08-16 04:55:55 +1000,2
Australia-Netherlands Committee on Old Dutch Shipwrecks,"",australia_netherlands_committee_on_old_dutch_shipwrecks,environment federal github_316,http://www.environment.gov.au/node/20233,http://www.environment.gov.au/topics/about-us/freedom-information/information-publication-scheme,http://www.environment.gov.au/topics/about-us/freedom-information/foi-disclosure-log,"The function of ANCODS is to determine the ownership and subsequent disposition between the Netherlands, Australia and the State of Western Australia of the artefacts recovered from Dutch shipwrecks off the coast of Western Australia. The artefacts covered by the agreement are currently housed in four main collecting institutions, the Western Australian Museum and the Australian National Maritime Museum in Australia and the Netherlands Maritime Museum in Amsterdam and the Geldmuseum (Money Museum) in Utrecht, Netherlands.",2014-03-28 19:47:13 +1100,2016-08-16 04:55:55 +1000,2
Australian Antarctic Names and Medals,"",australian_antarctic_names_and_medals,environment federal github_316,http://www.antarctica.gov.au/law-and-treaty/australian-antarctic-names-and-medal-committee,"","","The Australian Antarctic Names and Medals Committee advises the Government on names for features in the Australian Antarctic Territory and the Territory of Heard Island and the McDonald Islands, and on nominations to be made to the Governor-General for the award of the Australian Antarctic Medal.",2014-03-28 19:47:13 +1100,2016-08-16 04:55:56 +1000,2
Australian B20 Leadership Group,"",australian_b20_leadership_group,github_316 federal prime_minister defunct,http://www.pmc.gov.au,"","",The Australian B20 Leadership Group will manage the Australian G20 Presidency's engagement with the private sector. The Chairperson has appointed Mr Robert Milliner as the 'B20 sherpa'.,2014-03-28 19:47:13 +1100,2017-03-28 23:45:24 +1100,3
Australian Biological Resources Study (ABRS) Advisory Committee,"",australian_biological_resources_study_abrs_advisory_committee,environment federal github_316,http://www.environment.gov.au/topics/science-and-research/australian-biological-resources-study/funding-and-research/advisory,"","","The Australian Biological Resources Study (ABRS) Advisory Committee is a non-statutory, ministerially appointed body which provides expert technical advice to the Minister responsible for the Department of Sustainability, Environment, Water, Population and Communities (DSEWPaC). Advice includes assessing and recommending funding for Research Grants and Contracts, training schemes and the development of strategic and operational priorities and directions for the National Taxonomy Research Grant Program (NTRGP).",2014-03-28 19:47:13 +1100,2017-09-08 04:55:55 +1000,2
Australian Charities and Not-for-profits Commission,"",australian_charities_and_not_for_profits_commission,treasury federal github_316,https://www.acnc.gov.au,https://www.acnc.gov.au/ACNC/About_ACNC/Freedom_of_info/Info_pub_scheme/ACNC/Legal/Info_PS.aspx?hkey=e76e797b-797e-4b5d-b651-3dd2c0aaea83,https://www.acnc.gov.au/ACNC/About_ACNC/Freedom_of_info/Disclosure_log/ACNC/Legal/Disclosure_log.aspx?noleft=1&hkey=17866177-946f-4e2e-acb4-b3fc60d8cc1f,The Australian Charities and Not-for-profits Commission (ACNC) is a new independent statutory office which is responsible for the registration and regulation of the not-for-profit sector.,2014-03-28 19:47:13 +1100,2017-02-23 20:46:30 +1100,2
Australian Children's Education and Care Quality Authority,"",australian_childrens_education_and_care_quality_authority,education_and_training federal github_316,http://www.acecqa.gov.au,http://www.acecqa.gov.au/information-publication-scheme-for-acecqa,"","ACECQA is an independent national authority, based in Sydney. It is led by CEO Karen Curtis and guided by a 12 member governing Board whose members were nominated by each state and territory and the Commonwealth. Board members serve three year terms.
As the name suggests, one of ACECQA’s many roles is to educate and inform the wider community about the importance of improving outcomes in children’s and care. We also provide governments, the sector and families with access to the most current research to ensure NQF policy and service delivery is in line with best practice across the country.
ACECQA guides the implementation of the National Quality Framework for Early Childhood Education and Care nationally and ensures consistency in delivery.",2014-03-28 19:47:13 +1100,2016-09-06 10:16:18 +1000,2
Australian Building Codes Board,"",australian_building_codes_board,industry_and_science federal github_316,http://www.abcb.gov.au,http://www.innovation.gov.au/AboutUs/InformationPublicationScheme/Pages/default.aspx,http://www.innovation.gov.au/AboutUs/InformationPublicationScheme/Pages/FreedomofInformationDisclosureLog.aspx,The Australian Building Codes Board is a Council of Australian Government standards writing body that is responsible for the National Construction Code which comprises the Building Code of Australia and the Plumbing Code of Australia. It is a joint initiative of all three levels of government in Australia.,2014-04-04 04:15:25 +1100,2017-02-06 21:12:25 +1100,2
Australian Children's Television Foundation,"",australian_childrens_television_foundation,attorney_general federal github_316,http://actf.com.au,"","","The ACTF is a national children’s media production and policy hub. We help develop children’s television policy; distribute and invest in Australian children’s television series; support new, innovative and entertaining children’s media; and develop valuable screen resources for the sector.",2014-04-04 04:15:25 +1100,2017-01-17 11:21:41 +1100,2
Australian Financial Security Authority,"",australian_financial_security_authority,attorney_general federal github_316,https://www.afsa.gov.au,https://www.afsa.gov.au/about-us/corporate-information/information-publication-scheme,https://www.afsa.gov.au/about-us/corporate-information/freedom-of-information-disclosure-log,"AFSA fulfils the role of Inspector-General in Bankruptcy, the Official Receiver, and the Official Trustee in Bankruptcy.

The Inspector-General is responsible for the general administration of the Bankruptcy Act and has powers to regulate bankruptcy trustees and debt agreement administrators, review decisions of trustees and investigate allegations of offences under the Act.

On behalf of the Official Receiver, they operate a public bankruptcy registry service with compliance and coercive powers to assist bankruptcy trustees to discharge their responsibilities.

The Official Trustee in Bankruptcy, a body corporate, administers bankruptcies and other personal insolvency arrangements when a private trustee or other administrator is not appointed.

The Registrar administers the Personal Property Securities Register in compliance with the Personal Property Securities Act 2009 and Regulations. This includes responsibility for ensuring the register is accessible and accurate.",2014-04-04 04:15:25 +1100,2016-08-16 04:55:56 +1000,2
Australian Government Financial Literacy Board,"",australian_government_financial_literacy_board,treasury federal github_316,http://www.financialliteracy.gov.au,"","",The Australian Government Financial Literacy Board is a non statutory body that provides advice to the Government and the Australian Securities and Investments Commission (ASIC) on financial literacy issues.,2014-04-04 04:15:25 +1100,2016-11-15 11:31:27 +1100,2
Australian Housing and Urban Research Institute Limited Board,"",australian_housing_and_urban_research_institute_limited_board,social_services federal github_316,http://www.ahuri.edu.au,"","","The Australian and Urban Research Institute (AHURI) is a national not-for-profit independent network organisation that funds, conducts, disseminates and tailors high quality research on homelessness cities and Indigenous. AHURI’s mission is to deliver high quality, policy-relevant evidence for better and urban outcomes, and their strategic goals are to strengthen policy relevance; ensure high quality research; improve research accessibility; foster dynamic collaboration and support and strengthen research capability. AHURI funding is received from three sources: grants from the Australian and all state and territory governments; contributions from their university partners and third parties.",2014-04-04 04:15:25 +1100,2016-11-04 10:45:33 +1100,2
Australian Institute for Teaching and School Leadership,"",australian_institute_for_teaching_and_school_leadership,education_and_training federal github_316,http://www.aitsl.edu.au,"","","The Australian Institute for Teaching and School Leadership (AITSL) provides national leadership for the Commonwealth, State and Territory Governments in promoting excellence in the profession of teaching and school leadership.",2014-04-04 04:15:25 +1100,2016-08-16 04:55:56 +1000,2
Australian Landcare Council,"",australian_landcare_council,agriculture federal github_316,http://www.daff.gov.au/natural-resources/landcare/council,http://www.daff.gov.au/about/accessing-information/foi/ips,http://www.daff.gov.au/about/accessing-information/foi/ips/disclosure-log,"The Australian Landcare Council advises the Minister for Agriculture, Fisheries and Forestry on aspects of land care and natural resource management consistent with the principles of ecologically sustainable development.",2014-04-04 04:15:26 +1100,2016-08-16 04:55:56 +1000,2
Australian National Academy of Music,"",australian_national_academy_of_music,attorney_general federal github_316,http://www.anam.com.au,"","","The Australian National Academy of Music (ANAM) is dedicated to the artistic and professional development of the country's most exceptional young musicians. ANAM's vision is to develop the country's future music leaders, distinguished by their artistic skill, imagination, courage, and their contribution to a vibrant Australian music culture.",2014-04-04 04:15:26 +1100,2016-12-03 04:55:53 +1100,2
Australian National Commission for UNESCO,"",australian_national_commission_for_unesco,foreign_affairs_and_trade federal github_316,http://www.dfat.gov.au/intorgs/unesco/,http://www.dfat.gov.au/foi/ips.html,http://www.dfat.gov.au/foi/disclosure-log.html,"The Australian National Commission for United Nations Educational, Scientific and Cultural Organization (UNESCO) provides expert analysis and policy advice on UNESCO matters to the Australian Government; contributes to the development and implementation of programs in support of UNESCO priorities; and promotes and publicises UNESCO's objectives and programs.",2014-04-04 04:15:26 +1100,2016-11-03 12:38:10 +1100,2
Australian Qualifications Framework Council,AQF,aqf,github_316 federal education_and_training defunct,http://www.aqf.edu.au,"","",The Australian Qualifications Framework (AQF) Council provides strategic and authoritative advice to Education Ministers on the AQF to ensure it is nationally and internationally robust and supports flexible cross-sectoral linkages and pathways.,2014-04-04 04:15:26 +1100,2016-11-03 16:29:05 +1100,4
Australian Sports Drug Medical Advisory Committee,"",australian_sports_drug_medical_advisory_committee,health federal github_316,http://www.asdmac.gov.au,"","",The Australian Sports Drug Medical Advisory Committee is part of the Health portfolio. The Australian Sports Drug Medical Advisory Committee approves the use of prohibited substances by athletes for legitimate medical purposes (The Therapeutic Use Esceptions). ASDMAC also provides medical advice on anti-doping issues.,2014-04-04 04:15:26 +1100,2016-10-05 04:55:46 +1100,2
Australian Sports Foundation,"",australian_sports_foundation,github_316 federal health,http://www.asf.org.au,"","","The Australian Sports Foundation works with more than 600 organisations nationally, ranging from grass roots and communities through to elite levels. They fundraise to support the development of sport across Australia, with our projects ranging from small equipment and travel funds for local clubs and schools, through to facility and high performance focused funds for professional and national sporting organisations.",2014-04-04 04:15:26 +1100,2017-05-03 10:06:49 +1000,3
Australian Strategic Policy Institute,"",australian_strategic_policy_institute,defence federal github_316,http://www.aspi.org.au/,"","",The Australian Strategic Policy Institute is responsible for research and analysis to inform government and public understanding of strategic and defence issues.,2014-04-04 04:15:26 +1100,2016-11-08 07:53:31 +1100,2
Australian Suicide Prevention Advisory Council,"",australian_suicide_prevention_advisory_council,health federal github_316,http://www.health.gov.au,"","",The Australian Suicide Prevention Advisory Council advises the Government on strategic directions and priorities in relation to the prevention of suicide and self-harm to support implementation of the National Suicide Prevention Program (NSPP) and the Taking Action to Tackle Suicide package.,2014-04-04 04:15:26 +1100,2016-08-16 04:55:57 +1000,2
Australian Technical Advisory Group on Immunisation (ATAGI),"",australian_technical_advisory_group_on_immunisation_atagi,health federal github_316,http://www.immunise.health.gov.au/internet/immunise/publishing.nsf/Content/advisory-bodies#atagi,"",http://www.health.gov.au/internet/main/publishing.nsf/Content/foi-disc-log,"The Australian Technical Advisory Group on Immunisation advises the Minister for Health on the medical administration of vaccines and advises the Pharmaceutical Benefits Advisory Committee on matters relating to the ongoing strength of evidence pertaining to existing, new and emerging vaccines.",2014-04-04 04:15:27 +1100,2016-08-16 04:55:57 +1000,2
Australian-American Educational Foundation(Fulbright Commission),Fullbright,fullbright,education_and_training federal github_316,http://fulbright.com.au,"","","The Australian-American Fulbright Commission is a non-profit organisation, established in Australia through a binational treaty between the Australian and United States governments in 1949 under the auspices of the United States Educational Foundation in Australia (USEFA). The program was initially funded from U.S. Government credits acquired in Australia from the sale of surplus war materials. In 1963, the two governments established the Australian-American Education Foundation as a successor to USEFA, to be funded equally by the two parties. The operational name changed to the Australian-American Fulbright Commission in 2000.",2014-04-04 04:15:27 +1100,2016-08-16 04:55:57 +1000,3
Biosecurity Advisory Council,"",biosecurity_advisory_council,agriculture federal github_316,http://www.daff.gov.au/biosecurity-advisory-council,http://www.daff.gov.au/about/accessing-information/foi/ips,http://www.daff.gov.au/about/accessing-information/foi/ips/disclosure-log,"The Biosecurity Advisory Council provides independent advice to the Minister for Agriculture, Fisheries and Forestry on matters across the entire biosecurity continuum including the performance of all agencies operating in the biosecurity field.",2014-04-04 07:07:24 +1100,2016-08-16 04:55:57 +1000,2
Board of Taxation,"",board_of_taxation,treasury federal github_316,http://www.taxboard.gov.au,"","",The Board of Taxation is a non-statutory advisory body charged with contributing a business and broader community perspective to improving the design of taxation laws and their operation. The Board is tasked with advising the Treasurer on improving the general integrity and functioning of the taxation system and commissioning research and other studies on tax matters approved or referred to it by the Treasurer.,2014-04-04 07:07:24 +1100,2016-08-16 04:55:57 +1000,2
National Portrait Gallery of Australia,"",national_portrait_gallery_of_australia,attorney_general federal github_316,http://www.portrait.gov.au,http://www.portrait.gov.au/site/information-ps.php,http://www.portrait.gov.au/site/information-ps-disclosurelog.php,"The purpose of the National Portrait Gallery is to increase the understanding and appreciation of the Australian people – their identity, history, culture, creativity and diversity – through portraiture.",2014-04-04 07:07:24 +1100,2016-12-03 04:55:54 +1100,2
Booderee National Park Board of Management,"",booderee_national_park_board_of_management,environment federal github_316,http://www.environment.gov.au/topics/national-parks/booderee-national-park,"","","The Booderee National Park Board of Management is established under the Environment Protection and Biodiversity Conservation Act 1999. The Board manages the park in conjunction with the Director of National Parks. The functions of the Board are to make decisions about management of the park consistent with the park management plan and, in conjunction with the Director, to prepare management plans, monitor the management of the park, and advise the Minister on all future development of the park. The Board has 12 members a majority of whom are indigenous persons nominated by the traditional Aboriginal owners of the park.",2014-04-04 07:07:24 +1100,2016-08-16 04:55:57 +1000,2
Bundanon Trust Board,"",bundanon_trust_board,attorney_general federal github_316,http://www.bundanon.com.au,"","",The Bundanon Trust Board is responsible for the performance of the company and its management of the Bundanon property given to the Australian people in 1993 by Arthur and Yvonne Boyd.,2014-04-04 07:07:24 +1100,2016-08-16 04:55:57 +1000,2
Business Advisory Council,"",business_advisory_council,prime_minister federal github_316,http://www.pm.gov.au/media/2013-12-04/prime-ministers-business-advisory-council,"","",The Council facilitates an ongoing dialogue between the Government and representatives of Australian business. The Council’s advice will help guide programmes and policies relating to the needs of both small and large businesses in Australia.,2014-04-04 07:07:24 +1100,2016-12-03 04:55:54 +1100,2
Civil Society 20 Steering Group,"",civil_society_20_steering_group,github_316 federal prime_minister defunct,http://www.c20.org.au,http://www.daff.gov.au/about/accessing-information/foi/ips,http://www.daff.gov.au/about/accessing-information/foi/ips/disclosure-log,"The Australian Landcare Council advises the Minister for Agriculture, Fisheries and Forestry on aspects of land care and natural resource management consistent with the principles of ecologically sustainable development.",2014-04-04 07:07:24 +1100,2016-08-16 04:55:57 +1000,3
Clean Energy Finance Corporation,"",clean_energy_finance_corporation,treasury federal github_316,https://www.cleanenergyfinancecorp.com.au,https://www.cleanenergyfinancecorp.com.au/media/30869/foi_-_info_publication_scheme.pdf,https://www.cleanenergyfinancecorp.com.au/media/76239/clean-energy-finance-corporation-disclosure-log.pdf,"The objective of the CEFC is to overcome capital market barriers that hinder the financing, commercialisation and deployment of renewable energy, energy efficiency and low emissions technologies. The CEFC will invest in firms and projects utilising these technologies as well as manufacturing businesses that focus on producing the inputs required. It will not invest in carbon capture and storage technologies.",2014-04-04 07:07:24 +1100,2016-08-16 04:55:57 +1000,2
Closing the Gap Clearinghouse Board,"",closing_the_gap_clearinghouse_board,prime_minister federal github_316,http://www.aihw.gov.au/closingthegap/,http://www.dfat.gov.au/foi/ips.html,http://www.dfat.gov.au/foi/disclosure-log.html,"The Closing the Gap Clearinghouse Advisory Council's role is to provide specialist advice to the Director in relation to strategic directions for Institute research, any significant proposed changes to the research program, key performance indicators for the Institute's research activities, and the development of future strategic and research plans.",2014-04-04 07:07:24 +1100,2016-08-16 04:55:57 +1000,2
Coal Mining Abatement Technology Support Package Technical Advisory Committee,"",coal_mining_abatement_technology_support_package_technical_advisory_committee,industry_and_science federal github_316,http://www.aqf.edu.au,"","",The Coal Mining Abatement Technology Support Package Technical Advisory Committee provide advice to the Minister to guide the development and implementation of the Coal Mining Abatement Technology Support Package.,2014-04-04 07:07:25 +1100,2016-08-16 04:55:57 +1000,2
Codes of Conduct Advisory Group,"",codes_of_conduct_advisory_group,health federal github_316,http://www.health.gov.au/internet/main/publishing.nsf/Content/RPGD-Promotion-of-Therapeutic-Goods-Codes-of-conduct-advisory-group,"","",The Codes of Conduct Advisory Group is an industry led implementation advisory group that is guiding work to implement reforms aimed at strengthening the therapeutic goods industry's self regulatory framework for the promotion of therapeutic goods.,2014-04-04 07:07:25 +1100,2016-08-16 04:55:57 +1000,2
Comcover,"",comcover,finance federal github_316,http://www.finance.gov.au/comcover/,http://www.finance.gov.au/foi/information_publication_scheme.html,http://www.finance.gov.au/foi/disclosure-log/,Comcover is the Australian Government's general insurance fund and provides insurance and risk management services to Australian Government Departments and agencies.,2014-04-04 07:07:25 +1100,2017-10-06 04:55:57 +1100,2
Commonwealth Consumer Affairs Advisory Council,"",commonwealth_consumer_affairs_advisory_council,treasury federal github_316,http://ccaac.gov.au,"","",The Commonwealth Consumer Affairs Advisory Council provides the Minister with independent advice on consumer issues.,2014-04-04 07:07:25 +1100,2016-08-16 04:55:58 +1000,2
Cooperative Research Centres (CRC) Committee,"",cooperative_research_centres_crc_committee,industry_and_science federal github_316,https://www.crc.gov.au/Pages/default.aspx,http://www.innovation.gov.au/AboutUs/InformationPublicationScheme/Pages/InformationPublicationSchemeAgencyPlan.aspx,http://www.innovation.gov.au/AboutUs/InformationPublicationScheme/Pages/FreedomofInformationDisclosureLog.aspx,"The Cooperative Research Centres (CRC) Committee advises the Minister for Industry on applications for CRC funding, the performance of individual CRCs, and the planning, monitoring and evaluation of the CRC Program.",2014-04-04 07:07:25 +1100,2016-08-16 04:55:58 +1000,2
Council for Australian-Arab Relations,"",council_for_australian_arab_relations,foreign_affairs_and_trade federal github_316,http://www.dfat.gov.au/caar/,"",http://www.health.gov.au/internet/main/publishing.nsf/Content/foi-disc-log,"To promote between the peoples of Australia and the Arab world mutual interests and a greater understanding and acceptance of each other's cultures, values, beliefs and diversity.",2014-04-04 07:07:25 +1100,2017-05-16 07:01:34 +1000,2
Council on Australia Latin America Relations,"",council_on_australia_latin_america_relations,foreign_affairs_and_trade federal github_316,http://fulbright.com.au,"","","The Council on Australia Latin America Relations (Coalar) was established by the Australian Government in 2001 to enhance Australia’s economic, political and social relations with Latin America. It was formed in response to the Joint Standing Committee of Foreign Affairs, Defence and Trade - Trade Sub Committee report, Building Australia's Trade and Investment Relationship with South America (September 2000). One of the report’s recommendations was to ‘establish a mechanism with funding to promote initiatives, provide leadership and display commitment to developing the relationship through tangible achievements,’ through a Australia – South America Foundation. The Council's objectives are the achievement of: a. enhanced and strengthened links between Australia and Latin America in the priority areas of business, education, sustainability, tourism and cultural promotion; b. a closer engagement between corporate Australia with Latin America c. an increased awareness and understanding of Australia in Latin America, and of Latin America in Australia.",2014-04-04 07:07:25 +1100,2016-08-16 04:55:58 +1000,2
Creative Partnerships Australia,"",creative_partnerships_australia,federal attorney_general github_316,https://www.creativepartnershipsaustralia.org.au,"","","Creative Partnerships Australia was established to offer a resource hub for the facilitation of business partnerships, social investment and philanthropy for the cultural and creative sectors. 

Creative Partnerships will lead the exploration of new models of investment in the creative industries and stimulate partnerships between artists, business, private donors and the community to support sustainable creative industries in Australia.",2014-04-04 07:07:25 +1100,2016-08-16 04:55:58 +1000,4
Defence Industry Innovation Board,"",defence_industry_innovation_board,defence federal github_316,http://www.defence.gov.au,http://www.defence.gov.au/ips/index.htm,http://www.defence.gov.au/foi/disclosure_log.htm,Defence Industry Innovation Board provides high level advice on Defence industry programs to the Federal Government.,2014-04-04 07:07:25 +1100,2017-09-08 04:55:56 +1000,2
Defence Industry Innovation Centre Advisory Committee,"",defence_industry_innovation_centre_advisory_committee,industry_and_science federal github_316,http://www.enterpriseconnect.gov.au/industrysupport/defenceindustry/Pages/default.aspx,"","","The Defence Industry Innovation Centre Advisory Committee provides advice to the Minister for Innovation, Industry, Science and Research and the Department of Innovation, Industry, Science and Research on the implementation and ongoing strategic direction of the Enterprise Connect centre.",2014-04-04 07:07:25 +1100,2017-09-08 04:55:56 +1000,2
Defence Reserves Support Council (DRSC),"",defence_reserves_support_council_drsc,defence federal github_316,http://www.defencereservessupport.gov.au,"","",The Defence Reserves Support Council promotes the benefits of Reserve Service and encourages employers and the community to support Reservists.,2014-04-04 07:07:25 +1100,2016-08-16 04:55:58 +1000,2
Defence Strategic Reform Advisory Board,"",defence_strategic_reform_advisory_board,defence federal github_316,http://www.defence.gov.au,"","","The Defence Strategic Reform Advisory Board is part of the Defence portfolio, and functions in an advisory capacity.",2014-04-04 07:07:25 +1100,2016-08-16 04:55:58 +1000,2
Disability Employment Services Reference Group,"",disability_employment_services_reference_group,social_services federal github_316,http://www.dss.gov.au,"","","The Disability Employment Services Reference Group provides the Department of Education, Employment and Workplace Relations with timely access to balanced and representative views on a range of issues that impact on the successful operation of Disability Employment Services.",2014-04-04 07:07:25 +1100,2017-10-11 21:29:21 +1100,4
